filename,xmin,ymin,xmax,ymax,xloc,yloc,zloc
000025.txt,562,173,618,217,0,1,30
000025.txt,650,175,659,205,2,1,44
000025.txt,720,187,779,236,4,1,22
000026.txt,633,155,704,211,3,1,37
000026.txt,555,174,576,191,-4,1,68
000027.txt,16,117,314,314,-7,1,12
000027.txt,590,181,607,194,-1,2,73
000028.txt,147,156,205,309,-5,1,8
000029.txt,490,174,542,227,-3,1,23
000029.txt,652,174,690,204,3,1,41
000030.txt,559,178,588,204,-2,1,41
000031.txt,334,180,490,297,-3,1,12
000031.txt,785,179,1028,340,3,1,8
000031.txt,711,179,848,277,2,1,13
000031.txt,445,131,539,228,-3,1,22
000031.txt,660,178,713,222,2,1,26
000031.txt,620,171,649,200,1,1,51
000032.txt,178,189,435,344,-3,1,9
000032.txt,776,182,1014,335,3,1,8
000032.txt,340,150,489,274,-3,1,14
000032.txt,711,180,863,273,3,1,13
000032.txt,709,176,777,234,3,1,19
000032.txt,725,164,806,219,5,1,25
000032.txt,780,147,917,199,12,1,39
000032.txt,494,173,531,199,-5,1,44
000033.txt,582,175,601,189,-1,1,64
000033.txt,0,189,234,322,-7,1,10
000034.txt,46,196,328,286,-8,2,14
000035.txt,587,173,614,200,0,1,46
000035.txt,425,176,529,259,-2,1,16
000035.txt,234,185,320,231,-12,2,27
000035.txt,665,160,717,217,2,1,22
000035.txt,423,173,433,224,-5,1,23
000036.txt,553,178,693,311,0,1,10
000036.txt,341,194,390,218,-15,2,46
000036.txt,412,190,455,212,-12,2,50
000036.txt,960,183,1104,229,15,2,26
000036.txt,1154,178,1241,222,22,1,26
000036.txt,1123,213,1241,374,4,1,4
000037.txt,555,173,628,240,0,1,19
000037.txt,27,0,512,375,-3,1,10
000038.txt,592,176,637,219,0,1,28
000038.txt,895,158,1241,374,4,1,6
000038.txt,817,176,1038,302,4,1,10
000038.txt,749,177,940,262,4,1,14
000038.txt,489,180,521,201,-7,1,50
000038.txt,302,188,409,250,-6,1,18
000038.txt,682,173,796,220,4,1,24
000038.txt,659,174,745,209,4,1,31
000038.txt,640,167,707,198,4,1,46
000038.txt,434,175,472,199,-11,1,52
000038.txt,456,177,487,197,-11,1,58
000038.txt,412,177,437,195,-15,1,59
000039.txt,114,193,466,374,-2,1,7
000039.txt,683,184,776,256,2,1,16
000039.txt,533,177,574,212,-2,1,33
000039.txt,653,180,702,220,2,1,29
000039.txt,561,178,585,201,-2,1,48
000040.txt,474,179,516,210,-5,1,35
000040.txt,691,168,700,198,5,1,42
000041.txt,439,178,508,205,-7,1,41
000042.txt,576,174,604,202,-1,1,44
000042.txt,390,163,450,196,-24,2,94
000043.txt,471,174,502,266,-2,1,12
000043.txt,441,170,473,268,-2,1,12
000043.txt,684,161,711,230,2,1,20
000043.txt,719,160,745,229,3,1,20
000044.txt,0,203,365,374,-3,1,5
000044.txt,378,183,507,276,-3,1,13
000045.txt,75,192,273,277,-8,1,15
000045.txt,694,152,734,188,11,1,79
000045.txt,269,176,375,242,-8,1,21
000045.txt,346,186,419,229,-8,1,27
000045.txt,387,178,455,221,-8,2,31
000045.txt,455,181,500,209,-7,2,41
000045.txt,480,181,517,205,-7,2,46
000046.txt,578,176,625,221,0,1,26
000046.txt,597,168,634,207,0,1,35
000046.txt,769,151,1087,374,2,1,7
000046.txt,706,174,807,254,3,1,15
000046.txt,660,171,703,210,3,1,32
000046.txt,646,174,684,204,2,1,38
000047.txt,572,171,624,218,0,1,26
000047.txt,0,190,171,313,-8,1,10
000047.txt,214,165,423,292,-4,1,12
000047.txt,296,182,393,231,-8,1,23
000047.txt,428,180,498,226,-5,1,25
000047.txt,481,153,537,207,-4,1,36
000047.txt,0,185,180,253,-12,1,17
000047.txt,193,181,294,229,-12,1,25
000048.txt,659,160,687,236,1,1,16
000048.txt,680,157,711,236,2,1,17
000048.txt,453,159,482,241,-3,1,16
000048.txt,600,162,622,206,0,1,30
000049.txt,595,177,657,227,0,1,21
000049.txt,305,179,494,263,-4,1,13
000049.txt,410,176,514,228,-4,1,21
000049.txt,435,173,537,218,-4,1,24
000049.txt,473,171,556,203,-4,1,32
000049.txt,515,156,585,193,-3,1,45
000049.txt,984,188,1128,374,2,1,4
000049.txt,823,189,1083,327,4,1,9
000049.txt,753,185,885,263,4,1,14
000049.txt,719,169,816,238,4,1,20
000049.txt,693,173,709,209,3,1,32
000049.txt,776,170,882,211,9,1,31
000049.txt,0,178,252,280,-7,1,12
000049.txt,603,171,639,204,0,1,35
000049.txt,287,175,379,228,-8,1,21
000049.txt,881,155,1040,215,15,1,32
000049.txt,0,170,111,240,-14,1,17
000050.txt,683,170,803,257,2,1,14
000050.txt,262,182,469,318,-3,1,9
000050.txt,910,159,1241,374,2,1,2
000050.txt,641,172,681,206,2,1,31
000050.txt,683,153,724,183,8,0,65
000051.txt,919,155,967,230,7,1,17
000051.txt,713,174,744,204,6,1,39
000052.txt,710,180,802,243,3,1,19
000052.txt,624,177,695,239,1,1,21
000052.txt,40,187,73,212,-41,2,54
000052.txt,383,166,639,310,-1,1,12
000052.txt,245,199,378,265,-7,2,17
000053.txt,865,0,1241,374,3,1,2
000053.txt,173,180,429,359,-3,1,8
000053.txt,707,185,834,271,2,1,14
000053.txt,499,171,546,212,-3,1,28
000053.txt,526,173,563,203,-3,1,38
000054.txt,768,141,840,316,2,1,7
000055.txt,569,125,642,214,0,1,34
000055.txt,31,193,129,230,-23,2,32
000055.txt,104,188,188,220,-23,2,36
000056.txt,540,181,571,205,-3,2,48
000057.txt,0,224,199,374,-3,1,1
000057.txt,514,193,563,231,-2,2,30
000057.txt,572,176,591,196,-2,2,76
000058.txt,410,163,498,327,-1,1,7
000059.txt,558,180,599,213,-1,1,30
000059.txt,509,180,543,205,-4,1,41
000059.txt,969,195,1100,246,12,2,21
000059.txt,1129,194,1241,249,19,2,23
000059.txt,567,164,590,195,-2,1,54
000060.txt,519,162,545,194,-7,1,66
000060.txt,550,173,614,236,0,1,21
000060.txt,305,177,341,196,-23,1,59
000061.txt,1054,105,1241,249,11,1,15
000061.txt,0,212,41,328,-9,2,10
000061.txt,69,217,112,254,-23,3,33
000061.txt,0,218,93,297,-13,2,16
000061.txt,879,149,932,173,14,0,34
000061.txt,884,123,923,169,16,0,40
000062.txt,409,177,520,250,-3,1,19
000062.txt,502,185,574,229,-2,1,27
000062.txt,677,181,704,198,7,2,66
000062.txt,692,175,717,229,3,1,24
000063.txt,875,185,975,253,8,1,18
000063.txt,287,172,514,285,-3,1,11
000063.txt,411,172,454,296,-2,1,10
000063.txt,842,169,890,215,12,1,34
000064.txt,657,179,709,219,2,1,26
000064.txt,731,180,882,275,3,1,13
000064.txt,715,175,762,203,6,1,39
000065.txt,602,172,626,220,0,1,25
000065.txt,301,131,451,213,-10,1,34
000065.txt,444,132,516,207,-6,1,36
000065.txt,505,128,738,201,1,0,39
000065.txt,982,215,1140,373,3,1,5
000065.txt,920,205,1000,352,3,1,6
000065.txt,763,198,823,287,2,1,10
000065.txt,800,197,863,285,3,1,10
000065.txt,738,201,796,277,2,1,11
000066.txt,671,168,710,206,3,1,31
000066.txt,591,172,633,199,0,1,40
000067.txt,671,174,702,195,5,1,47
000067.txt,0,73,444,270,-10,2,23
000067.txt,704,171,744,200,6,1,38
000067.txt,427,179,600,281,-1,1,12
000067.txt,76,181,384,306,-5,1,11
000067.txt,478,182,515,207,-6,2,43
000067.txt,591,158,651,188,1,1,89
000068.txt,69,200,435,374,-3,1,6
000068.txt,0,209,198,374,-5,1,6
000068.txt,1210,199,1241,374,4,1,3
000068.txt,478,187,549,249,-2,2,20
000068.txt,547,171,584,212,-2,2,46
000068.txt,667,182,790,230,4,1,25
000068.txt,657,184,763,221,4,2,32
000068.txt,637,180,714,212,3,2,39
000068.txt,572,175,596,199,-2,2,65
000068.txt,380,167,523,288,-2,1,14
000068.txt,958,167,1036,254,7,1,14
000069.txt,130,186,355,257,-8,1,16
000069.txt,501,177,556,194,-7,1,62
000070.txt,531,146,631,350,0,1,6
000071.txt,596,174,664,239,0,1,19
000072.txt,290,187,464,288,-3,1,12
000072.txt,590,174,629,213,0,1,32
000073.txt,237,173,312,365,-2,1,6
000073.txt,189,158,256,356,-3,1,6
000073.txt,752,164,791,288,2,1,10
000073.txt,494,168,517,223,-3,1,24
000073.txt,546,177,560,214,-2,1,29
000073.txt,535,174,549,214,-2,1,29
000074.txt,688,124,780,363,1,1,6
000074.txt,778,149,861,355,1,1,6
000074.txt,935,155,1006,306,4,1,7
000075.txt,52,248,401,374,-3,1,6
000075.txt,452,186,572,264,-2,1,16
000075.txt,540,182,621,237,0,1,22
000075.txt,611,182,671,222,1,1,28
000075.txt,804,165,846,190,16,1,53
000076.txt,90,186,329,373,-2,1,4
000076.txt,964,157,1023,289,4,1,9
000076.txt,236,169,288,339,-3,1,7
000076.txt,413,169,489,291,-2,1,10
000076.txt,811,152,841,249,4,1,13
000076.txt,524,165,549,230,-1,1,19
000076.txt,560,165,577,224,-1,1,22
000076.txt,708,157,729,222,3,1,21
000077.txt,574,179,616,208,0,1,39
000078.txt,0,142,336,374,-3,1,5
000078.txt,222,166,454,308,-3,1,10
000078.txt,658,166,697,201,3,1,34
000078.txt,615,168,651,189,1,1,51
000079.txt,669,174,700,196,4,1,46
000079.txt,22,78,452,265,-10,2,23
000079.txt,701,171,742,201,5,1,36
000079.txt,357,182,567,301,-2,1,10
000079.txt,0,183,326,330,-6,1,9
000079.txt,483,182,518,207,-6,2,44
000079.txt,590,158,650,188,1,1,90
000080.txt,457,176,528,229,-3,1,23
000080.txt,536,176,565,202,-3,1,44
000080.txt,559,176,578,192,-3,1,68
000080.txt,589,172,633,216,0,1,29
000081.txt,563,175,581,191,-3,1,76
000081.txt,593,162,621,192,0,1,75
000082.txt,708,167,728,184,9,1,63
000082.txt,0,105,200,239,-17,1,20
000083.txt,0,202,361,373,-2,1,3
000083.txt,368,183,504,279,-2,1,12
000083.txt,587,169,643,220,0,1,24
000083.txt,101,160,334,287,-6,1,12
000083.txt,463,174,511,205,-5,1,35
000084.txt,459,179,505,227,-4,1,27
000084.txt,448,181,486,208,-8,1,42
000085.txt,0,57,245,374,-5,1,5
000085.txt,678,164,705,243,1,1,17
000085.txt,304,177,359,304,-3,1,9
000085.txt,0,179,156,244,-13,1,17
000086.txt,0,167,85,374,-6,1,4
000086.txt,0,198,233,362,-6,1,7
000086.txt,357,177,507,223,-5,1,23
000086.txt,687,171,861,232,4,1,18
000086.txt,670,163,823,222,4,1,22
000086.txt,418,175,519,208,-6,1,33
000086.txt,451,175,533,202,-6,1,39
000087.txt,23,183,225,258,-10,1,16
000087.txt,694,174,735,207,4,1,33
000087.txt,797,169,844,185,18,1,64
000087.txt,560,171,569,196,-3,1,49
000087.txt,1053,158,1115,181,39,0,59
000088.txt,175,191,373,247,-8,1,19
000089.txt,317,196,504,314,-2,1,10
000089.txt,744,0,1241,374,2,1,6
000089.txt,657,176,720,224,2,1,24
000089.txt,458,184,538,243,-3,1,19
000089.txt,704,177,853,287,2,1,12
000089.txt,635,178,665,203,2,1,41
000090.txt,5,199,126,269,-14,2,18
000091.txt,902,156,947,228,7,1,18
000092.txt,359,187,456,240,-6,2,23
000092.txt,420,175,496,228,-5,2,28
000092.txt,686,173,733,211,4,1,31
000092.txt,692,163,724,207,5,1,36
000092.txt,1182,149,1241,197,19,0,21
000093.txt,0,187,326,374,-4,1,7
000093.txt,246,194,425,297,-4,1,12
000093.txt,359,185,479,258,-4,1,16
000093.txt,550,176,587,202,-2,1,43
000093.txt,605,174,626,190,0,1,70
000094.txt,660,189,747,252,2,1,19
000095.txt,599,182,667,247,0,1,19
000095.txt,774,172,963,270,4,1,13
000095.txt,705,179,802,228,4,1,24
000095.txt,673,181,757,216,4,1,30
000095.txt,146,192,340,290,-6,1,14
000095.txt,527,181,563,206,-4,2,48
000095.txt,241,191,355,242,-10,2,24
000095.txt,327,181,399,228,-10,2,30
000095.txt,581,180,609,196,-1,2,68
000095.txt,410,183,465,213,-9,2,40
000095.txt,486,184,533,204,-7,2,53
000095.txt,71,187,194,239,-14,1,22
000095.txt,87,185,204,220,-21,2,32
000096.txt,783,184,1176,339,3,1,7
000096.txt,661,160,1003,300,3,1,10
000096.txt,279,178,368,242,-8,1,22
000096.txt,505,185,557,219,-3,1,31
000096.txt,639,187,879,275,2,1,13
000097.txt,536,176,569,194,-4,1,58
000097.txt,717,174,738,193,9,1,56
000098.txt,659,182,722,240,2,1,22
000098.txt,0,0,222,375,-4,1,1
000098.txt,207,189,361,280,-6,1,14
000098.txt,345,190,424,240,-6,1,22
000098.txt,414,131,493,217,-8,1,38
000098.txt,744,186,780,207,10,1,49
000098.txt,824,183,852,198,22,1,69
000099.txt,0,192,334,374,-3,1,5
000099.txt,846,184,1241,374,3,1,6
000099.txt,311,166,473,282,-3,1,13
000099.txt,476,175,570,241,-2,1,19
000099.txt,760,178,894,277,3,1,13
000099.txt,749,179,821,244,4,1,19
000099.txt,635,176,705,216,2,1,30
000099.txt,968,150,1045,197,18,1,33
000099.txt,906,152,973,193,15,0,34
000100.txt,359,182,400,285,-3,1,11
000100.txt,19,179,206,238,-13,1,18
000101.txt,569,177,636,240,0,1,19
000101.txt,0,212,108,265,-19,2,24
000101.txt,106,200,220,253,-15,2,25
000102.txt,1160,213,1241,255,13,1,16
000102.txt,1186,176,1241,246,16,1,18
000102.txt,1153,180,1221,212,27,1,34
000103.txt,854,154,921,293,3,1,9
000104.txt,818,180,882,238,7,1,22
000104.txt,362,181,534,261,-3,1,15
000104.txt,610,182,684,222,1,1,28
000104.txt,683,182,729,213,4,1,36
000104.txt,713,181,750,207,7,2,44
000104.txt,739,181,769,203,10,2,52
000104.txt,855,185,886,212,15,2,43
000105.txt,975,98,1227,374,3,1,5
000105.txt,531,177,554,195,-5,1,64
000106.txt,603,177,630,204,0,1,46
000106.txt,0,202,204,291,-9,1,13
000106.txt,167,187,280,244,-12,2,22
000106.txt,449,183,483,204,-10,2,53
000107.txt,812,184,1241,374,2,1,4
000107.txt,733,182,934,317,2,1,9
000107.txt,470,178,539,233,-3,1,22
000107.txt,671,179,733,228,2,1,23
000107.txt,650,179,692,214,2,1,31
000107.txt,634,177,666,203,2,1,42
000108.txt,568,172,674,273,0,1,13
000108.txt,862,148,932,247,5,1,14
000108.txt,0,0,494,367,-4,1,12
000109.txt,810,154,875,302,2,1,8
000110.txt,862,129,1241,304,5,1,8
000110.txt,1184,141,1241,187,22,0,24
000110.txt,346,175,449,248,-5,1,17
000110.txt,420,170,540,256,-2,1,16
000110.txt,815,143,962,198,10,0,26
000110.txt,966,144,1039,182,19,0,35
000110.txt,1004,144,1087,178,21,0,36
000110.txt,407,178,487,230,-5,1,24
000110.txt,557,165,591,181,-3,0,80
000111.txt,591,174,640,220,0,1,26
000111.txt,1187,197,1241,374,4,1,4
000111.txt,386,185,455,225,-7,1,27
000111.txt,738,169,918,253,4,1,14
000111.txt,684,174,809,227,4,1,21
000111.txt,682,169,770,211,4,1,29
000111.txt,651,164,736,204,4,1,36
000111.txt,646,173,712,199,4,1,43
000111.txt,393,175,444,206,-11,1,42
000111.txt,536,160,566,188,-6,1,80
000111.txt,425,175,465,200,-11,1,48
000111.txt,490,176,516,192,-10,1,71
000111.txt,372,177,404,199,-15,1,49
000111.txt,135,178,175,203,-28,1,44
000112.txt,1073,148,1241,275,11,1,13
000112.txt,0,191,78,374,-6,1,4
000112.txt,0,183,199,341,-6,1,7
000112.txt,0,159,335,300,-6,1,10
000112.txt,233,166,440,248,-6,1,16
000112.txt,274,177,461,237,-6,1,18
000112.txt,95,175,371,266,-6,1,13
000112.txt,451,174,549,205,-5,1,34
000112.txt,998,161,1152,225,13,1,21
000112.txt,668,174,774,212,4,1,30
000113.txt,1077,205,1241,374,2,1,1
000113.txt,924,136,1241,374,4,1,7
000113.txt,530,162,585,223,-1,1,26
000113.txt,833,127,1087,223,10,1,21
000113.txt,318,182,401,229,-8,1,25
000113.txt,214,166,318,230,-11,1,25
000113.txt,455,171,499,205,-5,1,32
000113.txt,692,171,770,215,4,1,27
000113.txt,573,163,607,193,-1,1,44
000113.txt,610,149,646,187,1,1,55
000113.txt,745,166,827,212,6,1,28
000113.txt,566,136,602,190,-1,1,51
000113.txt,93,199,259,236,-14,1,24
000113.txt,37,187,172,237,-17,2,25
000113.txt,0,191,79,233,-20,2,25
000113.txt,0,173,36,215,-29,2,35
000114.txt,589,187,668,253,0,1,17
000114.txt,185,184,302,240,-11,1,22
000114.txt,888,173,1019,266,6,1,13
000114.txt,682,157,763,235,3,1,21
000114.txt,447,168,472,258,-3,1,15
000114.txt,325,175,390,216,-11,1,32
000114.txt,409,180,515,231,-5,1,24
000114.txt,445,184,542,220,-4,1,30
000114.txt,485,181,556,211,-4,1,37
000114.txt,520,180,572,200,-4,1,51
000114.txt,579,180,622,220,0,1,29
000114.txt,329,179,388,205,-14,1,42
000115.txt,466,178,527,202,-7,1,46
000116.txt,793,146,1130,369,3,1,7
000116.txt,682,172,753,230,3,1,23
000116.txt,495,181,548,222,-3,1,29
000116.txt,563,177,606,208,-1,1,40
000117.txt,739,184,969,278,4,1,12
000117.txt,110,170,328,253,-8,1,16
000117.txt,202,166,363,245,-8,1,18
000117.txt,242,169,366,224,-10,1,24
000117.txt,453,178,492,204,-9,2,49
000118.txt,631,172,653,215,1,1,27
000118.txt,415,134,483,206,-8,1,38
000118.txt,474,132,700,203,0,1,41
000118.txt,872,203,975,321,3,1,7
000118.txt,841,198,902,304,3,1,9
000118.txt,738,193,784,265,2,1,13
000118.txt,720,196,767,258,2,1,14
000119.txt,381,186,479,256,-4,1,16
000119.txt,446,151,526,230,-4,1,24
000119.txt,496,183,587,252,-1,1,17
000119.txt,853,151,933,258,5,1,12
000119.txt,519,180,550,206,-4,1,40
000120.txt,57,202,394,374,-3,1,8
000120.txt,0,210,119,374,-4,1,2
000120.txt,814,164,997,262,5,1,13
000120.txt,346,185,485,278,-3,1,14
000120.txt,455,186,532,243,-3,1,20
000120.txt,486,186,549,232,-3,1,25
000120.txt,785,164,985,229,6,1,17
000121.txt,721,170,752,196,7,1,42
000121.txt,637,172,683,202,2,1,38
000121.txt,340,183,415,224,-8,1,27
000121.txt,487,180,524,205,-6,1,44
000121.txt,595,156,659,188,1,1,87
000122.txt,581,177,650,244,0,1,19
000122.txt,788,160,833,230,5,1,19
000122.txt,448,115,553,224,-4,1,31
000123.txt,602,176,634,198,0,1,48
000124.txt,815,147,902,176,13,0,38
000124.txt,543,164,570,185,-3,0,52
000124.txt,589,164,611,185,0,0,57
000124.txt,473,167,484,191,-10,0,57
000125.txt,207,191,314,224,-16,2,34
000125.txt,376,185,418,205,-15,2,53
000125.txt,62,201,144,232,-26,3,37
000125.txt,327,183,399,214,-13,2,38
000125.txt,335,187,374,208,-18,2,52
000125.txt,425,181,464,201,-12,2,53
000126.txt,315,189,441,267,-4,1,15
000126.txt,524,149,594,197,-3,1,43
000127.txt,753,181,905,276,3,1,13
000127.txt,604,172,676,198,1,1,42
000127.txt,487,170,502,214,-4,1,28
000127.txt,845,171,912,223,8,1,22
000127.txt,796,166,866,192,14,1,45
000127.txt,962,163,1054,189,24,0,43
000127.txt,381,178,444,204,-11,1,43
000127.txt,247,181,303,205,-21,2,46
000127.txt,589,175,611,190,0,1,72
000127.txt,553,175,579,190,-4,1,72
000128.txt,609,154,657,200,1,1,50
000128.txt,6,184,193,262,-13,2,19
000129.txt,53,185,265,288,-8,2,14
000129.txt,301,185,399,235,-8,1,24
000129.txt,385,175,451,221,-8,1,30
000129.txt,429,183,476,214,-7,2,35
000129.txt,451,178,500,211,-7,2,40
000129.txt,497,180,532,203,-6,2,50
000130.txt,788,141,882,306,2,1,8
000131.txt,205,186,358,240,-9,1,20
000131.txt,442,178,530,217,-5,1,29
000131.txt,208,180,327,223,-13,1,27
000131.txt,459,174,520,205,-6,1,42
000131.txt,711,173,737,190,10,1,64
000132.txt,739,170,786,211,6,1,30
000132.txt,749,175,774,194,11,0,52
000133.txt,468,183,535,203,-7,2,51
000134.txt,333,177,489,277,-3,1,12
000134.txt,1084,129,1195,213,11,0,15
000134.txt,993,137,1070,203,12,0,20
000134.txt,562,158,594,225,0,1,19
000134.txt,790,154,834,194,9,0,30
000134.txt,402,157,427,234,-4,1,17
000134.txt,196,177,229,234,-11,1,21
000134.txt,189,181,219,236,-11,1,20
000134.txt,283,168,364,241,-6,1,17
000134.txt,241,176,270,234,-9,1,20
000134.txt,210,172,242,244,-9,1,18
000134.txt,334,162,354,234,-7,1,19
000134.txt,1137,137,1223,177,24,0,28
000135.txt,367,194,448,247,-6,2,22
000135.txt,662,175,723,221,2,1,25
000135.txt,1056,131,1168,181,24,0,35
000135.txt,0,208,101,248,-23,2,30
000135.txt,36,203,157,247,-20,2,29
000136.txt,0,210,370,374,-3,1,6
000136.txt,646,165,700,204,3,1,34
000136.txt,364,195,436,239,-8,2,30
000136.txt,939,163,1129,222,11,1,19
000136.txt,863,164,1030,214,10,1,22
000136.txt,689,163,724,190,6,1,45
000137.txt,595,175,627,206,0,1,41
000137.txt,666,163,724,194,8,2,72
000137.txt,0,103,272,267,-12,2,19
000137.txt,317,186,376,218,-13,2,37
000137.txt,426,182,458,202,-13,2,57
000137.txt,438,169,465,196,-17,2,79
000138.txt,382,181,491,251,-4,1,17
000138.txt,269,176,317,202,-20,1,46
000138.txt,307,175,355,199,-19,1,51
000138.txt,547,176,571,194,-4,1,58
000138.txt,506,172,549,209,-3,1,35
000139.txt,594,177,621,204,0,2,48
000139.txt,623,163,660,193,3,2,74
000139.txt,133,177,268,244,-13,2,23
000140.txt,706,162,820,248,3,1,16
000140.txt,453,179,526,235,-3,1,22
000140.txt,550,173,603,211,-1,1,32
000140.txt,685,170,744,209,4,1,28
000141.txt,405,184,530,263,-2,1,15
000142.txt,1199,108,1241,348,4,1,5
000142.txt,36,165,248,374,-3,1,5
000142.txt,835,166,1241,374,2,1,5
000142.txt,726,154,916,306,2,1,10
000142.txt,688,153,806,252,2,1,15
000142.txt,678,170,747,231,2,1,21
000142.txt,656,160,672,199,2,1,35
000142.txt,661,162,676,200,2,1,36
000142.txt,530,167,560,197,-4,1,47
000142.txt,605,167,616,191,0,1,52
000142.txt,428,178,495,225,-5,1,24
000142.txt,0,197,273,374,-5,1,7
000142.txt,197,186,398,301,-5,1,12
000142.txt,337,176,452,252,-5,1,17
000143.txt,588,166,615,196,0,2,76
000143.txt,4,199,128,248,-18,2,25
000143.txt,120,201,178,228,-26,3,42
000143.txt,940,180,1003,202,24,1,49
000144.txt,804,153,842,240,4,1,16
000144.txt,803,157,850,239,5,1,17
000144.txt,472,172,524,220,-4,1,29
000144.txt,646,170,661,205,2,1,36
000144.txt,0,202,277,374,-5,1,7
000144.txt,323,187,345,243,-7,1,19
000145.txt,323,158,339,202,-11,0,29
000145.txt,421,163,432,195,-9,0,39
000145.txt,324,155,336,189,-15,0,40
000145.txt,1034,183,1155,229,16,1,23
000145.txt,1097,183,1223,230,19,1,24
000145.txt,346,154,357,191,-14,0,39
000145.txt,396,166,429,255,-3,1,13
000145.txt,501,157,553,255,-1,1,13
000145.txt,676,152,784,270,2,1,11
000145.txt,79,151,225,335,-4,1,7
000145.txt,601,171,637,199,0,0,37
000145.txt,221,153,232,197,-16,0,30
000145.txt,997,173,1017,210,20,1,35
000146.txt,572,180,629,226,0,1,23
000146.txt,0,202,349,374,-2,1,3
000146.txt,190,194,462,367,-2,1,7
000146.txt,71,197,289,323,-5,1,9
000146.txt,177,188,351,278,-6,1,13
000146.txt,328,182,449,236,-6,1,20
000146.txt,360,176,472,228,-6,1,23
000146.txt,416,180,496,214,-6,1,31
000146.txt,879,188,1241,374,2,1,3
000146.txt,661,180,728,230,2,1,22
000146.txt,645,126,719,212,3,1,32
000146.txt,747,166,761,215,5,1,26
000146.txt,36,186,184,236,-15,1,22
000146.txt,588,176,624,208,0,1,35
000146.txt,279,178,340,208,-15,1,37
000147.txt,707,157,837,261,3,1,14
000147.txt,415,167,437,241,-4,1,18
000148.txt,782,174,860,203,12,1,41
000149.txt,509,180,558,218,-3,1,29
000149.txt,745,183,941,315,3,1,10
000149.txt,693,175,817,269,2,1,14
000149.txt,679,173,756,244,2,1,18
000149.txt,653,177,707,219,2,1,28
000149.txt,637,176,666,202,2,1,43
000149.txt,647,176,689,212,2,1,33
000149.txt,391,183,456,206,-12,2,48
000149.txt,304,182,377,207,-17,2,48
